Date,Date,Date.9,Date.8,Date.7,Date.6,Date.5,Date.4,Date.3,Date.2,Date.1,Time1,Time2,Time3,Time4,Time5,Time6
2022-06-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,2022-06-01,0.0,0.0,0.0,0.0,0,0
2022-06-02,2022-06-02,2022-06-02,2022-06-02,2022-06-02,2022-06-02,2022-06-02,2022-06-02,2022-06-02,2022-06-02,2022-06-02,3.0,0.0,0.0,0.0,0,0
2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2022-06-03,2.0,2.0,0.0,0.0,0,0
2022-06-04,2022-06-04,2022-06-04,2022-06-04,2022-06-04,2022-06-04,2022-06-04,2022-06-04,2022-06-04,2022-06-04,2022-06-04,1.0,1.08,0.0,0.0,0,0
2022-06-05,2022-06-05,2022-06-05,2022-06-05,2022-06-05,2022-06-05,2022-06-05,2022-06-05,2022-06-05,2022-06-05,2022-06-05,2.112028535,2.0,2.0,0.0,0,0
2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06,0.0,0.0,0.0,0.0,0,0
2022-06-07,2022-06-07,2022-06-07,2022-06-07,2022-06-07,2022-06-07,2022-06-07,2022-06-07,2022-06-07,2022-06-07,2022-06-07,0.0,0.0,0.0,0.0,0,0
2022-06-08,2022-06-08,2022-06-08,2022-06-08,2022-06-08,2022-06-08,2022-06-08,2022-06-08,2022-06-08,2022-06-08,2022-06-08,0.0,0.0,0.0,0.0,0,0
2022-06-09,2022-06-09,2022-06-09,2022-06-09,2022-06-09,2022-06-09,2022-06-09,2022-06-09,2022-06-09,2022-06-09,2022-06-09,0.0,0.0,0.0,0.0,0,0
2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10,2022-06-10,0.0,0.0,0.0,0.0,0,0
2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11,0.0,0.0,0.0,0.0,0,0
2022-06-12,2022-06-12,2022-06-12,2022-06-12,2022-06-12,2022-06-12,2022-06-12,2022-06-12,2022-06-12,2022-06-12,2022-06-12,0.0,0.0,0.0,0.0,0,0
2022-06-13,2022-06-13,2022-06-13,2022-06-13,2022-06-13,2022-06-13,2022-06-13,2022-06-13,2022-06-13,2022-06-13,2022-06-13,0.0,0.0,0.0,0.0,0,0
